Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,Position
140,Kemba Walker,2011,1,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,7,10.87,3.16,3
141,David Lighty,2011,0,76.75,78.5,80,101,33,134,28.5,129.5,216,6.5,15,10.81,3.25,2
143,Greg Smith,2011,0,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,17,12.43,3.36,4
144,Jamie Skeen,2011,0,78.5,80,85.25,106.5,30.5,137,26,132.5,242,9.8,10,12.43,3.46,3
146,LaceDarius Dunn,2011,0,75,76,78.25,101,31,132,26.5,127.5,188,5.5,3,11.45,3.27,5
147,Malcolm Thomas,2011,0,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,5,11.31,3.29,3
148,Michael Dunigan,2011,0,80.5,82,87.25,107.5,34.5,142,29.5,137,238,8,10,11.85,3.27,4
149,Rick Jackson,2011,0,80.25,81.25,86,106.5,33,139.5,28.5,135,242,8.3,9,11.51,3.26,4
150,Scotty Hopson,2011,0,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,10,10.47,3.18,4
152,Austin Rivers,2012,1,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,1,11.54,3.32,2
153,Meyers Leonard,2012,1,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,19,11.34,3.41,1
154,Jeremy Lamb,2012,1,76,77.25,83,102,38,140,31.5,133.5,179,4.5,5,10.98,3.25,2
157,Moe Harkless,2012,1,79.25,80.75,84,102.5,37,139.5,32.5,135,207,5.3,5,10.87,3.25,3
159,Tyler Zeller,2012,1,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,16,11.13,3.4,5
160,Terrence Jones,2012,1,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,12,11.57,3.4,4
161,Andrew Nicholson,2012,1,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,11.89,3.67,4
162,Michael Kidd-Gilchrist,2012,1,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,6,11.77,3.18,3
163,Jared Sullinger,2012,1,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9,12.77,3.81,4
164,Fab Melo,2012,1,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,12.14,3.44,5
165,John Jenkins,2012,1,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,10,11.36,3.37,2
168,Miles Plumlee,2012,1,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,15,10.64,3.36,5
169,Arnett Moultrie,2012,1,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,10,11.32,3.22,4
170,Perry Jones,2012,1,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,11,11.31,3.19,4
171,Marquis Teague,2012,1,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8,10.65,3.19,1
172,Bradley Beal,2012,1,75.25,76.75,80,100,39,139,33,133,202,6,8,10.95,3.28,2
173,Festus Ezeli,2012,1,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,18,12.35,3.29,5
174,Jeff Taylor,2012,1,78,79.25,78.25,101.5,40,141.5,33.5,135,213,4.2,15,10.87,3.29,3
176,Bernard James,2012,1,80.75,82,87,108.5,32.5,141,30,138.5,230,5,6,11.84,3.4,5
177,Jae Crowder,2012,1,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,20,11.45,3.37,5
178,Draymond Green,2012,1,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,11.01,3.4,3
179,Orlando Johnson,2012,1,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,13,10.98,3.25,2
180,Quincy Acy,2012,1,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,13,10.48,3.28,4
181,Quincy Miller,2012,1,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,8,11.05,3.48,3
182,Khris Middleton,2012,1,78.75,80.25,82.75,103,31,134,28,131,216,7.8,4,11.45,3.47,3
186,Doron Lamb,2012,1,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,2,11.12,3.41,2
187,Mike Scott,2012,1,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,14,11.59,3.44,3
189,Darius Miller,2012,1,78,79.5,81,101,37,138,33,134,233,7.5,14,11.34,3.31,3
190,Kevin Murphy,2012,1,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,11,10.97,3.42,1
192,Thomas Robinson,2012,1,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,15,11.96,3.17,3
194,Darius Johnson-Odom,2012,1,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,17,10.76,3.21,2
195,Robbie Hummel,2012,1,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,13,11.56,3.41,2
196,Marcus Denmon,2012,1,74.25,75.25,77,94.5,40,134.5,33.5,128,188,6.6,8,10.82,3.19,1
197,Damian Lillard,2012,1,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,13,11.15,3.34,3
198,Harrison Barnes,2012,1,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,15,10.93,3.16,3
199,Terrence Ross,2012,1,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,2,11.78,3.28,3
200,Andre Drummond,2012,1,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,10,10.83,3.39,5
201,Drew Gordon,2012,0,80,80.75,83.5,103.5,34,137.5,29,132.5,239,9.1,10,11.35,3.49,4
202,Henry Sims,2012,0,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,7,12.33,3.44,4
203,Hollis Thompson,2012,0,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,6,11.72,3.38,4
204,J'Covan Brown,2012,0,73,74.25,77.25,96,29.5,125.5,26,122,202,12.5,3,11.68,3.47,2
205,JaMychal Green,2012,0,80,81,86.25,106.5,32.5,139,29.5,136,217,9.8,19,10.63,3.38,2
206,Jordan Taylor,2012,0,73,74,75,92.5,36.5,129,33,125.5,193,5.5,14,10.57,3.19,2
207,Kevin Jones,2012,0,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,17,11.94,3.6,1
208,Scott Machado,2012,0,73,74,76,94.5,32.5,127,27,121.5,206,5.8,17,11.26,3.3,4
209,Tony Mitchell (Alabama),2012,0,77.25,78.25,82,100,40,140,31.5,131.5,216,5.7,14,11.72,3.47,4
210,Tu Holloway,2012,0,70.5,71.75,77.5,94.5,35,129.5,28,122.5,187,8.5,12,11,3.42,1
211,William Buford,2012,0,76,77,81.5,102,32.5,134.5,27.5,129.5,215,11.3,8,11.4,3.43,1
212,C.J. McCollum,2013,1,74.25,75.25,78.25,96.5,38.5,135,32,128.5,197,8.6,13,11.02,3.32,2
213,Michael Carter-Williams,2013,1,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,8,10.68,3.22,1
214,Steven Adams,2013,1,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,16,11.85,3.4,5
215,Kelly Olynyk,2013,1,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,5,11.42,3.59,5
216,Shabazz Muhammad,2013,1,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,10,10.99,3.32,1
217,Dennis Schroeder,2013,1,73,74,79.75,98,34,132,30,128,165,4.1,1,11.09,3.21,1
218,Shane Larkin,2013,1,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,12,10.64,3.08,1
219,Victor Oladipo,2013,1,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,15,10.69,3.25,2
220,Tony Snell,2013,1,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,7,10.36,3.25,3
222,Mason Plumlee,2013,1,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,14,10.89,3.29,5
223,Solomon Hill,2013,1,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,14,10.77,3.19,3
224,Tim Hardaway Jr,2013,1,76.5,78.25,79,101,37.5,138.5,31.5,132.5,199,6.1,16,10.68,3.25,2
225,Reggie Bullock,2013,1,77.75,79,80.75,102,36.5,138.5,31,133,200,7,11,11.33,3.31,2
226,Andre Roberson,2013,1,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,10,11.36,3.34,3
227,Rudy Gobert,2013,1,84.5,86,92.5,115,29,144,25,140,238,4.4,7,12.85,3.57,5
228,Archie Goodwin,2013,1,75.75,77.25,81.5,102,36,138,30,132,189,4.6,1,10.75,3.27,2
